Time_ms,T_C,P_Pa,Alt_m,AccX_mss,AccY_mss,AccZ_mss,GyroX_rads,GyroY_rads,GyroZ_rads,MagX_raw,MagY_raw,MagZ_raw,PYRO
4097,25.82978,101517.29688,-1.40712,-10.83176,-0.00718,-2.40626,4.57652,5.54807,0.56674,-76,-41,-309
4127,25.83143,101515.09375,-1.21754,-11.32737,0.48125,-1.24982,5.62051,5.41810,0.86076,-52,-11,-305
4156,25.83183,101510.90625,-0.85720,-11.01851,-0.63209,-1.50122,5.43088,4.66813,1.80248,231,10,-292
4186,25.82886,101514.75781,-1.18863,-9.40955,-3.04553,-2.19796,4.64896,3.55170,1.80887,9,21,-278
4215,25.82945,101515.35156,-1.23973,-8.22438,-4.19479,-3.13891,5.55446,2.75060,1.41258,33,22,-251
4245,25.83071,101521.14844,-1.73854,-7.16131,-5.22194,-5.70319,5.52037,2.78043,1.60647,54,26,-224
4274,25.83117,101519.54688,-1.60073,-6.40711,-6.22754,-5.69601,4.89610,3.00201,1.09513,69,8,-184
4304,25.82813,101516.46094,-1.33519,-5.52362,-7.12540,-5.84685,4.77253,3.30455,0.42399,85,24,-170
4334,25.83123,101516.83594,-1.36746,-5.87558,-7.11103,-3.63453,5.32222,3.38125,0.31320,91,20,-132
4363,25.82906,101519.00000,-1.55367,-5.97614,-7.64975,-2.32006,7.11618,3.00201,0.47938,99,16,-98
4393,25.82761,101518.44531,-1.50594,-5.73192,-7.13258,-2.77977,7.68931,2.57376,0.05966,93,20,-49
4422,25.82972,101519.68750,-1.61283,-5.89713,-6.65851,-1.68079,6.81790,2.45871,0.03835,88,-3,-6
4452,25.83031,101518.96875,-1.55098,-5.96178,-6.96738,-1.23545,6.11267,1.56386,0.50495,64,4,28
4481,25.82978,101522.81250,-1.88172,-5.78939,-7.64975,-1.31446,4.89610,1.42963,0.41973,36,-19,61
4511,25.82985,101518.78125,-1.53485,-6.20599,-7.66411,0.33041,4.12270,1.75987,0.31959,-245,-21,58
4540,25.83189,101518.77344,-1.53417,-6.85963,-7.10385,1.07025,3.79459,1.57664,0.37712,-13,-28,68
4570,25.83051,101516.75000,-1.36006,-7.06075,-6.62260,0.19394,2.96792,1.39980,0.45595,-40,-36,77
4599,25.83005,101516.03125,-1.29821,-7.26187,-6.50767,1.71670,2.73781,1.77052,0.67966,-65,-42,78
4629,25.83071,101517.34375,-1.41115,-7.42708,-6.03360,1.98965,2.93383,1.74283,0.62639,-81,-53,76
4658,25.83183,101521.32031,-1.75332,-7.81495,-5.22194,2.30570,3.36421,2.05815,0.94385,-99,-65,67
4688,25.82912,101520.49219,-1.68207,-8.25311,-4.57548,2.59301,3.63266,2.35431,1.15904,-125,-88,70
4718,25.83057,101518.09375,-1.47569,-8.51169,-3.25384,1.88191,3.33864,2.85287,1.30179,-153,-90,42
4747,25.83235,101518.71875,-1.52947,-8.78464,-2.83723,1.55150,1.31032,3.22572,1.42324,-176,-108,25
4777,25.83090,101520.96094,-1.72240,-9.32335,-4.64013,1.98965,-1.64056,2.46510,1.06743,-198,-113,12
4806,25.83249,101517.73438,-1.44477,-9.37363,-5.68883,2.37753,-2.95300,1.55320,0.56887,-209,-125,10
4836,25.83130,101520.96875,-1.72307,-9.51729,-5.67446,1.33601,-2.93170,1.24853,0.04687,-198,-125,3
4865,25.83170,101518.80469,-1.53686,-8.99294,-5.76065,-0.66801,-2.62276,1.22935,0.13210,-195,-128,-6
4895,25.83077,101521.55469,-1.77349,-8.94266,-5.78220,-3.31848,-4.29102,1.15052,-0.53904,-185,-136,2
4924,25.83183,101524.74219,-2.04776,-9.35209,-5.43024,-3.30412,-5.82078,1.64056,-1.03760,-168,-139,-15
4954,25.83268,101518.94531,-1.54896,-10.07037,-4.70477,-1.22827,-4.80023,1.94097,-0.32811,-141,-146,-34
4983,25.83110,101515.56250,-1.25788,-9.30181,-3.63453,-4.80533,-4.05665,1.36145,-0.09162,-121,-143,-36
5023,25.81976,101517.32812,-1.40981,-8.95703,-3.96494,-4.05113,-5.76113,0.90337,0.16832,-106,-145,-61
5052,25.81435,101518.00000,-1.46762,-7.82932,-4.07987,-3.69917,-3.46435,0.66475,0.41973,-96,-151,-71
5082,25.81903,101516.78125,-1.36275,-6.98174,-3.33285,-6.59387,-2.74207,0.55822,-0.02557,-88,-156,-83
5111,25.81831,101517.55469,-1.42930,-7.41271,-1.57305,-6.65133,-2.66111,0.92468,-0.89272,-77,-157,-85
5141,25.82009,101515.69531,-1.26931,-7.79341,0.28731,-6.18444,-1.29327,1.30605,-0.76488,-70,-155,-108
5170,25.82708,101517.78125,-1.44880,-7.16131,-0.29450,-7.36962,-0.16406,1.80674,-0.12357,-66,-151,-121
5200,25.82662,101516.20312,-1.31300,-5.78939,-3.51960,-7.67130,-0.28124,2.61637,0.40694,-57,-148,-141
5230,25.82840,101519.47656,-1.59468,-5.88276,-4.51084,-6.52204,0.43251,2.94235,-0.93959,-57,-152,-162
5259,25.83011,101513.08594,-1.04477,-5.87558,-2.75822,-7.43426,2.38627,3.18950,-2.01980,-62,-133,-181
5289,25.83137,101518.18750,-1.48376,-5.45897,-1.17081,-10.67373,0.80750,2.96792,-2.10716,-37,-125,-195
5318,25.83057,101512.57031,-1.00040,-6.37120,-0.27295,-8.63380,-2.36070,3.01266,-1.77265,-25,-108,-206
5348,25.82939,101514.64062,-1.17855,-5.87558,1.02715,-6.37838,-3.28111,1.76413,-0.88846,-19,-97,-246
5377,25.83447,101514.13281,-1.13485,-4.23071,0.96250,-7.42708,-5.08360,-0.37498,-0.12571,-31,-90,-261
5407,25.83552,101515.92188,-1.28880,-2.92342,0.28013,-9.35209,-6.86690,-1.83018,-0.03196,-38,-99,-275
5436,25.83572,101516.89844,-1.37283,-2.89469,1.36474,-8.43986,-5.92518,-1.54468,-0.14062,-68,-105,-278
5466,25.83651,101509.75781,-0.75837,-2.87314,3.00962,-9.81897,-4.20153,-0.40055,-0.37712,-97,-104,-283
5495,25.83684,101513.25781,-1.05956,-2.83005,4.05113,-8.74873,-5.29666,0.04687,-1.17609,-122,-105,-282
5525,25.83902,101512.25781,-0.97351,-4.00085,4.06550,-4.23789,-5.66312,0.00639,-1.31245,-143,-108,-274
5554,25.83842,101509.40625,-0.72812,-4.54675,5.99051,-5.69601,-5.41384,-0.35794,-1.04825,-171,-108,-282
